jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
176,slider176,LowTom Comp Gain,LowTom Comp Gain,0,-24,24,0.1,,Toms,5
177,slider177,LowTom Comp Attack (ms),LowTom Comp Attack (ms),6,0.1,100,0.1,,Toms,5
178,slider178,LowTom Comp Release (ms),LowTom Comp Release (ms),100,1,500,1,,Toms,5
179,slider179,LowTom Comp Mix,LowTom Comp Mix,0,0,100,0.1,,Toms,5
180,slider180,MidTom Comp Threshold,MidTom Comp Threshold,-18,-60,0,0.1,,Toms,5
181,slider181,MidTom Comp Ratio,MidTom Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Toms,9
182,slider182,MidTom Comp Gain,MidTom Comp Gain,0,-24,24,0.1,,Toms,5
183,slider183,MidTom Comp Attack (ms),MidTom Comp Attack (ms),6,0.1,100,0.1,,Toms,5
184,slider184,MidTom Comp Release (ms),MidTom Comp Release (ms),100,1,500,1,,Toms,5
185,slider185,MidTom Comp Mix,MidTom Comp Mix,0,0,100,0.1,,Toms,5
186,slider186,HighTom Comp Threshold,HighTom Comp Threshold,-18,-60,0,0.1,,Toms,5
187,slider187,HighTom Comp Ratio,HighTom Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Toms,9
188,slider188,HighTom Comp Gain,HighTom Comp Gain,0,-24,24,0.1,,Toms,5
189,slider189,HighTom Comp Attack (ms),HighTom Comp Attack (ms),5,0.1,100,0.1,,Toms,5
190,slider190,HighTom Comp Release (ms),HighTom Comp Release (ms),90,1,500,1,,Toms,5
191,slider191,HighTom Comp Mix,HighTom Comp Mix,0,0,100,0.1,,Toms,5
192,slider192,Zap Comp Threshold,Zap Comp Threshold,-16,-60,0,0.1,,Zap,5
193,slider193,Zap Comp Ratio,Zap Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Zap,9
